"","cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type","diffexpressed","gene_label"
"229","E15","1700022E09Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"230","E15","1700022I11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"231","E15","1700022N22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"232","E15","1700023C21Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"233","E15","1700023F02Rik",0.987528897403623,0.568378476731775,1,"pseudobulk","edgeR","LRT","NO",NA
"234","E15","1700023F06Rik",-0.361933229935085,0.536159816710806,1,"pseudobulk","edgeR","LRT","NO",NA
"235","E15","1700023G09Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"236","E15","1700024B05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"237","E15","1700024B18Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"238","E15","1700024G13Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"239","E15","1700024I08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"240","E15","1700024P04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"241","E15","1700025B11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"242","E15","1700025C18Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"243","E15","1700025D23Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"244","E15","1700025F22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"245","E15","1700025F24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"246","E15","1700025G04Rik",-0.100474984360094,0.795370119309986,1,"pseudobulk","edgeR","LRT","NO",NA
"247","E15","1700025H01Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"248","E15","1700025J12Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"249","E15","1700025K04Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"250","E15","1700025K24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"251","E15","1700025L06Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"252","E15","1700025M24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"253","E15","1700025N21Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"254","E15","1700025N23Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"255","E15","1700025O08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"256","E15","1700026D11Rik",2.9340300410885,0.126320665180114,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"257","E15","1700026F02Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"258","E15","1700026J12Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"259","E15","1700026J14Rik",-0.317194598192517,0.835852314237994,1,"pseudobulk","edgeR","LRT","NO",NA
"260","E15","1700027A07Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"261","E15","1700027A15Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"262","E15","1700027F06Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"263","E15","1700027F09Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"264","E15","1700027H10Rik",2.9340300410885,0.126320665180114,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
